Species ID;Species;Latin Name;Group;Subgroup;Subsubgroup;Family;Checklist ID;Date;Year;Month;Day;Site Ref;Site;County;Country;Life Stage;Aggregate Status
B30;Holly Blue;Celastrina argiolus;Insect;Lepidoptera;Butterfly;Lycaenidae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F0014;Meadow Buttercup;Ranunculus acris;Plant;Flower;Flower;Ranunculaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F0015;Creeping Buttercup;Ranunculus repens;Plant;Flower;Flower;Ranunculaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F0485;Herb-Robert;Geranium robertianum;Plant;Flower;Flower;Geraniaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F0646;Red Dead-nettle;Lamium purpureum;Plant;Flower;Flower;Lamiaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F0879;Smooth Sow-thistle;Sonchus oleraceus;Plant;Flower;Flower;Asteraceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F1194;Procumbent Pearlwort;Sagina procumbens;Plant;Flower;Flower;Caryophyllaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F1336;Common Nettle;Urtica dioica;Plant;Flower;Flower;Urticaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
G029;Perennial rye-grass;Lolium perenne;Plant;Grass et al;Grass;Poaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
G046;Annual meadow-grass;Poa annua;Plant;Grass et al;Grass;Poaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
G047;Rough meadow-grass;Poa trivialis;Plant;Grass et al;Grass;Poaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
G060;Cock's-foot;Dactylis glomerata;Plant;Grass et al;Grass;Poaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
G151;Barren Brome;Anisantha sterilis;Plant;Grass et al;Grass;Poaceae;C1;03.06.2023;2023;6;3;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F0358;Common Vetch;Vicia sativa;Plant;Flower;Flower;Fabaceae;C2;05.06.2023;2023;6;5;S0001;Woodham Fen;Essex;UK;Adult;Species
